from,to,weight
Pl,11,1
Pl,13,3
Po,9,1
Po,5,3
Pr,7,2
Pr,4,1
Ti,9,1
Ha,10,1
Ha,13,3
Ka,9,1
Ka,2,3
Kap,13,1
Kap,6,3
Ke,5,3
Ne,5,3
Re,9,1
Re,2,3
Roe,12,1
Roe,6,3
Schw,2,3
Schw,6,3
Gr,4,2
Wo,9,2
Wo,4,2
He,8,3
Kr,9,2
Kr,8,2
Pri,12,1
Pri,4,3
Va,11,1
Va,3,3
Sche,11,1
Sche,6,2
Koe,11,1
Koe,3,3
Ka,4,3
We,4,3
Ni,4,3
Al,7,NA
Ma,7,NA
Schel,7,NA
Nie,7,NA
Weh,7,NA
